,comment,Labeling ,clean_text
130,rada males sama merk suzuki... dikit2 suntik mati,negatif,rada malas merk suzuki dikit2 suntik mati
131,Kebanyakan konsep ujung2nya kalah dgn produk china,negatif,banyak konsep ujung2nya kalah produk china
132,"Mobil prindapan, skip dah",negatif,mobil prindapan skip
133,"Cakep bener modelnya... kalau harganya setara dg BYD jelas ini bisa menghambat EV China di Indo.... kualitas Suzuki jelas bagus, apalagi cakep bentuknya....:face-red-heart-shape:",positif,cakep bener model harga tara byd hambat ev china indonesia kualitas suzuki bagus cakep bentuknyafaceredheartshape
134,1500 cc tranmisi at bkin produksi dah suzuki...,positif,1500 cc tranmisi at bkin produksi suzuki
135,keren sih ini,positif,keren sih
136,"Merek lain produk baru, merek ini pamerin konsep yang udah lama... cape deh...",negatif,merek produk merek pamerin konsep capek deh
137,Lebih cakep daripada design Mitsubishi,positif,cakep design mitsubishi
138,Kok format videonya ada HDR?,negatif,format video hdr
139,"D india ni mobil ""udh jadi"" n lgi d tes jln, bbrpa x ad poto ny",positif,d india ni mobil n d tes jalan x foto ny
140,"Suzuki kalo dihandle China mungkin udah keluar produk2 inovatif terbaru kali..ketinggalan amat sih Jepang, bahkan Honda aja baru aja muncul konsep EN-1 nya setelah sekian lama. Kalah ama korea udah sampe Ioniq5N...",negatif,suzuki dihandle china produk2 inovatif baru kaliketinggalan sih jepang honda muncul konsep en1 nya sekian kalah korea ioniq5n
141,cuma mitsubishi yg consep ama produksi mirip2,positif,mitsubishi consep produksi mirip2
142,"Byd udh jualan 7seater ev harga gila, ini baru konsep ğŸ«£",negatif,byd jual 7seater ev harga gila konsep
143,NGIMPI ğŸ˜ŠğŸ˜ŠğŸ˜Š,negatif,mimpi
144,"Bentar lagi kayaknya suzuki bakalan dibeli sama china

Seperti volvo",negatif,bentar kayak suzuki beli china volvo
145,"Â @whatyougetwhatyouseeÂ  Seperti inilah sepantasnya teknologi dan desain mobil masa kini.
Mobil baru yang sekarang ini dijual (khususnya mobil Jepang) adalah mobil masa lalu yang sudah sangat ketinggalan dari sisi desain dan teknologi",positif,whatyougetwhatyousee teknologi desain mobil mobil jual mobil jepang mobil tinggal sisi desain teknologi
146,"Mudah2an, dan harga nya ngo tak",positif,mudah harga nya
147,Suzuki the next generation ğŸ˜Š,positif,suzuki the next generation
148,Sekalianya keluar harganya di goreng ğŸ˜‚ğŸ˜‚ğŸ˜‚,negatif,sekalianya harga goreng
149,Masih menunggu all new ertiga dan xl7. Beli mobil kalau gak 7 seater gak afdol,positif,tunggu all new ertiga xl7 beli mobil 7 seater afdol
150,Semoga harganya membumi tidak sundul langit.,positif,moga harga bumi sundul langit
151,HDR bikin plain warnanya di mayoritas HP bang...,negatif,hdr bikin plain warna mayoritas hp bang
152,Kek bkn Suzuki aja... Biasa belakang nya jelek bgt... Ini gw suka,positif,suzuki nya jelek banget suka
153,"Suzuki baik motor maupun mobil biasanya hanya bagus di konsep.
Begitu produk beneran.....ğŸ˜Š",positif,suzuki motor mobil bagus konsep produk beneran
154,Hadeh masih konsep.,negatif,hadeh konsep
155,"Mirip muka ikan lohan, mantap ini. Serasa melihat ikan purba.",positif,muka ikan loh mantap serasa ikan purba
156,Inilah kenapa Suzuki dan Honda terpaksa stop produksinya di Thailand yg lagi demam EV. Merk lain udah banyak yg jualan EV ini masih pamerin konsep EV.,negatif,suzuki honda paksa stop produksi thailand demam ev merk jual ev pamerin konsep ev
157,wow interior nya keren. 400jt deh biar aku bisa beli :hand-pink-waving:,positif,wow interior nya keren 400jt deh biar beli handpinkwaving
158,paling klo final produknya full chrome lagi ala prindavan...oh nehii..,negatif,final produk full chrome ala prindavanoh nehii
159,mnding jdiin bensin aja. blom cocok ev,negatif,mending jdiin bensin cocok ev
160,"Yang lain udah jualan ini masih pamer konsep ğŸ˜‚ oiya ini kan pameran, ya bener pamer aja gak jualan ğŸ˜Š",negatif,jual pamer konsep oiya pamer ya bener pamer jual
161,"suzuki asli jepang sih bagus. tapi suzuki itu kek lebih menghargai negara yang akan dia produksi massal.
dalam artian lebih ke UKM di negara lokal ( bukan build Japan).


mirip kek malaysia lah.
apapun merek kendaraan masuk wilayah malaysia harus ganti namanya PERODUA.
alhasil akan banyak rombakan modifikasi yang tentunya berbeda dengan produksi dari kendaraan luar yang kita ketahui secara garis besar. Makanya xenia-avanza di malaysia koq lebih berkarakter dibanding dengan indonesia.


lucunya lagi karena cost kirim kendaraan dari jepang mungkin mahal ke indonesia, maka di kirim dari india yang selera india banget ke indonesia guna mengurangi biaya pengiriman part2 kendaraan dari jepang.
Seperti Suzuki esspreso yang kek gak selera banget untuk indonesia. Tapi koq suzuki tetap pede aja ya ?heran.


ya semoga bisa lebih mengerti selera indonesia aja sih.
sama perbanyakin dong bengkel suzuki khususnya motor. kami dari bogor kesulitan servis resmi motornya. Mana yang servis umum katanya ahli eh malah main tarik kabel temperatur mesin.",positif,suzuki asli jepang sih bagus suzuki harga negara produksi massal arti ukm negara lokal build jepang malaysia apa merek kendara masuk wilayah malaysia ganti nama perodua alhasil rombak modifikasi beda produksi kendara tahu garis xeniaavanza malaysia koq karakter banding indonesia lucu ongkos kirim kendara jepang mahal indonesia kirim india selera india banget indonesia kurang biaya kirim part2 kendara jepang suzuki esspreso selera banget indonesia koq suzuki pede ya heran ya moga erti selera indonesia sih perbanyakin bengkel suzuki motor bogor sulit servis resmi motor servis ahli eh main tarik kabel temperatur mesin
162,"Ku suka mobil Suzuki EV, keren..",positif,ku suka mobil suzuki ev keren
163,tumben banget mobil konsep boleh dipegang + bisa liat dalamnya,positif,tumben banget mobil konsep pegang lihat dalam
164,masih konsep bae smpe nnt suzukiny kbru bangkrut ğŸ˜”,negatif,konsep bae suzukiny kbru bangkrut
165,Dalam sejarahnya mobil konsep suzuki selalu jauh dari yg dijual...,negatif,sejarah mobil konsep suzuki jual
166,Keren coooo,positif,keren coooo
167,mitsubishi xforce electric,netral,mitsubishi xforce electric
168,NGIMPI ğŸ˜ŠğŸ˜ŠğŸ˜Š,netral,mimpi
169,Mksdnya ngimpi gmn nih Â @djinggo2296Â  ? Lu ngimpi basah?ğŸ¤£ğŸ¤£ğŸ¤£,netral,maksud mimpi nih djinggo2296 mimpi basah
170,"wkwk stuju, kyknya anak2 gua jg anteng sih kalo dibawa pake ini bisa liat keatas mulu hehe",positif,wkwk tuju anak2 anteng sih bawa pakai lihat atas mulu hehe
171,Goodlah fast Charging...,positif,goodlah fast charging
172,"jangan lupa interior nya kak, stylish dan mevvah banget itu",positif,lupa interior nya kak stylish mevvah banget
173,"Mudah2an, soalnya mobil listrik pasti Mahal",positif,mudah mobil listrik mahal
174,Dari Panjangnya Bakal Lawan Hyundai Kona Yg lama terus ada Honda EN1 aka HRV EV terus ada MG ZS EV ada lagi BYD ATTO 3 dan Omoda 5eV,netral,panjang lawan hyundai kona honda en1 aka hrv ev mg zs ev byd atto 3 omoda 5ev
175,Paling lawannya jetli,netral,lawan jetli
176,Â @muhammadadityabudiman8036Â  eh kan kona yang baru udah keluar kan,netral,muhammadadityabudiman8036 eh kona
177,"Yang laen dah jual 11.000 unit baru mau keluarin 2025 ğŸ˜…ğŸ˜… emang kocak lu Suzuki.. Bukan pelopor tapi cuma ekor... 
Pantes motor lu ga begitu laku, selain cuma pengekor tapi model nya kocak bukan selera kebanyakan orang Indonesia.. Orang mah minimal riset.. Yang paling laku di Indonesia apa jiplak aja dlu..",negatif,jual 11000 unit keluar 2025 emang kocak suzuki pelopor ekor motor laku ekor model nya kocak selera banyak orang indonesia orang mah minimal riset laku indonesia jiplak
178,Mobil suzuki rangka kerupuk yang tidak aman yang mengancam nyawa keluarga anda.,negatif,mobil suzuki rangka kerupuk aman ancam nyawa keluarga
179,Logo S  nya terkesan jadul,negatif,logo s nya kes jaman
180,Yah masih konsep. Jauh ketinggalan sama mobil China saat ini.,negatif,yah konsep tinggal mobil china
181,"Suzuki Japan memang oke, siap gilas ev yg lain. Suzuki bisa paling murah dibanding semua EV. Apalagi jika sudah muncul versi  EV LCGC.....mantab...",positif,suzuki jepang oke gilas ev suzuki murah banding ev muncul versi ev lcgcmantab
182,cukup menghalangi pandangan layarnya....,negatif,halang pandang layar
183,Kapan Indonesia punya produk sendiri?,netral,indonesia produk
184,Yakin mau untung tipis,positif,untung tipis
185,Yg bensin nya aja belum kebeli...,netral,bensin nya beli
186,semua ev akan BYD pada waktunya,netral,ev byd
187,"salfok sama aditornya carmudi! keren editannya 
:face-blue-wide-eyes:",positif,salfok aditornya carmudi keren edit facebluewideeyes
188,Suzuki klo mobil totalitas banget,positif,suzuki mobil totalitas banget
189,interiorny,netral,interiorny
190,Kalau kerenmungkin bisa jd list selanjutnya. Asal g lebih mahal dr mobil china,positif,kerenmungkin daftar mahal mobil china
191,Ntar kalau laku harga nya dinaikin sales nya sendri ğŸ¤£,negatif,laku harga nya dinaikin sales nya sendri
192,"Terjangkau sepertinya tapi hanya kalau dibandingkan IONIQ bang.... Tapi saya yakin harganya bakalan di atas 400 juta kalau udah dijual di Indonesia.. kemungkinan besar head to head sama mocin EV-nya Cherry yaitu Omoda EV.. ğŸ˜… tapi setidaknya ada kemungkinan masuk ke level pembeli yang ""takut atau ragu beli EV china tapi budget gak sampe beli merek korea"" ğŸ˜…ğŸ˜ğŸ˜ğŸ™",positif,jangkau banding ioniq bang harga 400 juta jual indonesia head head mocin evnya cherry omoda ev masuk level beli takut ragu beli ev china budget beli merek korea
193,brand jepang tapi ttap build quality beti dengan china,negatif,brand jepang build kualitas beti china
194,"ah males, klo cuman 2 baris doang.. enakan 3 baris kyk BYD M6",negatif,ah malas 2 baris enak 3 baris byd m6
195,"Cirikhas Carmudi Indonesia, kalau bikinm judul konten provokatif......",negatif,cirikhas carmudi indonesia bikinm judul konten provokatif
196,masuk indonesia kah?,netral,masuk indonesia kah
197,"suzuki baru kemarin dijepang, update mesin dengan thermal efficiecy 40% ditambah 48V murni (bukan 12v to 48v alias MHEV), hybrid , dan juga BEV platform.
honda itu yang agak aneh emang strateginya yah bakal gini2 aja kalo CEOnya tetap karena terlalu ""main aman""",negatif,suzuki kemarin dijepang update mesin thermal efficiecy 40 tambah 48v murni 12v 48v alias mhev hybrid bev platform honda aneh emang strategi yah gini2 ceonya main aman
198,"kan ada kata2, lebih baik terlambat dari pada tidak sama sekali.",positif,kata lambat
199,"â€‹Â @seogabonotjah6555Â  Iyalah main aman, mana ada pabrikkan tolol berani bakar uang melihat kondisi negaranya ga baik-baik aja, yen anjlok, dan angka populasi yang menurun disana, mempengaruhi jumlah sdm berkualitas dijepang semakin menipis, kalo misalkan Jepang masih sama sekarang kaya diera 60-70an... dan negara kaya sumber daya alam/sdm mungkin Jepang bisa sangat mudah membalas china, tapi nyatanya sekarang kondisinya udah berubah mau ga mau perusahaan jepang hanya bisa bertahan ditengah krisis melanda dinegaranya...",negatif,seogabonotjah6555 iya main aman pabrik tolol berani bakar uang kondisi negara baikbaik yen anjlok angka populasi turun sana pengaruh sdm kualitas dijepang tip jepang kaya era 6070an negara kaya sumber daya alamsdm jepang mudah balas china kondisi ubah usaha jepang tahan tengah krisis landa negara
200,"Jepang ragu, mobil ev diramalkan tidak akan bertahan lama karena sudah mulai ada mobil hidrogen yg lebih efisien dan BBM melimpah.",negatif,jepang ragu mobil ev ramal tahan mobil hidrogen efisien bbm limpah
201,palingan 1Man,netral,paling 1man
202,Ternyata masih konsep,negatif,konsep
203,Konsap konsep konsap konsep... kalo masih bikinan prindavan siapÂ² gk laku lagi dan lagi... versi konsep dan versi rilis sering kali beda 180Â° kalo prindavan yg bikinğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,negatif,konsap konsep konsap konsep bikin prindavan laku versi konsep versi rilis kali beda 180 prindavan bikin
204,"Produk china semakin kesini semakin baik, kualitas top harga bersahabat.",positif,produk china kesini kualitas top harga sahabat
205,Tumben suzuki desainnya bagus..yahh walaupun masih konsep.,positif,tumben suzuki desain bagusyahh konsep
206,"8:28 ""Terjangkau bagi standar brand Jepang"" ğŸ—¿",positif,828 jangkau standar brand jepang
207,"mestinya pakai transmisi at 4 speed supaya mesin lebih kecil, baterai lebih ringan, jarak tempuh tetap jauh.",positif,mesti pakai transmisi at 4 speed mesin baterai ringan jarak tempuh
208,Mending keluarin Suzuki Fronx,positif,mending keluar suzuki fronx
209,"lah itu layar dashboardnya aja nutupin kaca depan, mmg sih masih konsep",negatif,layar dashboardnya nutupin kaca sih konsep
210,Ignis crosğŸ‰,positif,ignis cros
211,Ini beberapa harga om? 1:38,netral,harga om 138
212,"Kelamaan, mobil Tiongkok udah banjir di sini, ini masih konsep2 aja. Padahal Toyota udah mulai produksi dari kemarin2",negatif,mobil tiongkok banjir konsep2 toyota produksi kemarin2
213,Bukan mpv ya.. mn bisa lawan m6 bydğŸ˜‚,negatif,mpv ya lawan m6 byd
214,"Pesan pertama buat SUZUKI, kalau memang mobil ini mau di jual di Indonesia, siapkan atau tersediakan spare partnya! Jangan kayak Hybridnya, beli Aki buat Hybrid aja perlu indent 2 - 3 bulan buset deh!",negatif,pesan suzuki mobil jual indonesia siap sedia spare partnya hybridnya beli aki hybrid indent 2 3 buset deh
215,04:29 susah banget buka pintunya,negatif,0429 susah banget buka pintu
216,Yang pasti selama infrastruktur dan ekosistem ev di Indonesia belum berkembang belum menarik untuk menggunakan ev sebagai daily driver kecuali buat mereka yang fomo dan punya duit lebih,positif,infrastruktur ekosistem ev indonesia kembang tarik ev daily driver kecuali fomo duit
217,"langsung ke 7 seater aja.. ev tembus 600km tapi harga di 350-450jt, dijamin laris krn bisa dipakai mudik.",positif,langsung 7 seater ev tembus 600km harga 350450jt jamin laris pakai mudik
218,"Iterior boleh berubah tapi eksterior jangan. EVX sudah lumayan dapat perhatian karena designnya cukup menarik. Masalah harga, silahkan komparasi dengan mobil produk China yang setera.",positif,iterior ubah eksterior evx lumayan perhati designnya tarik harga silah komparasi mobil produk china tera
219,"Toyota aja gagal di EV, apalagi pabrikan kecil macam Suzuki. Dulu model Suzuki itu bagus, sempat punya Swift juga. Brand new di tahun 2006. Desain Eropa. Swift yang sekarang, astaga. My next EV will be Chinese Inshallah. BYD Seal.",negatif,toyota gagal ev pabrikan suzuki model suzuki bagus swift brand new 2006 desain eropa swift astaga my next ev will be chinese inshallah byd seal
220,bused bantai ?? kata2nya min walah,netral,bused bantai kata min walah
221,"Nanya sendiri, jawab sendiri bang ğŸ˜¢",netral,bang
222,Â @AANJAY_Â  anjaaayyyyyy terus gimana dong takut di hujat,netral,aanjay anjaaayyyyyy takut hujat
223,nanti sampai kampung repot nge charge dimana,negatif,kampung repot nge charge mana
224,Byd m6,netral,byd m6
225,orang2 uda pada jualan dia masi bikin konsep...definisi ketinggalan yang sesungguhnya:face-blue-smiling:,negatif,orang2 jual bikin konsepdefinisi tinggal sesungguhnyafacebluesmiling
226,"brand jepang terlalu banyak concept yang hanya jadi arena pameran, ujung-ujungnya  gak akan dijual di indo. adapun dijual di indo pasti banyak disunat terkait fitur dan bahannya. resiko pasar indo dianak tirikan, giliran brand china masuk dan brand korea mulai berbenah baik akhirnya brand jepang mulai kelimpungan.",negatif,brand jepang konsep arena pamer ujungujungnya jual indonesia jual indonesia sunat kait fitur bahan resiko pasar indonesia anak tiri gilir brand china masuk brand korea benah brand jepang kelimpungan
227,konsepnya suzuki ama kenyataannya bedanya ya bisa dilihat sendiri lah dari produk2 sebelumnya..,negatif,konsep suzuki nyata beda ya produk2
228,Bocoran dari lampunya aja dari keliatan aneh,negatif,bocor lampu aneh
229,Yakin banget versi mass produknya pasti jauh dari konsep ğŸ˜‚ğŸ˜‚ğŸ˜‚,negatif,banget versi mass produk konsep
230,"Kenapa ga langsung pamerin yang versi Mass Pro nya aja, penggemar suzuki kayak nya emang sudah menunggu produk suzuki yang beda dari versi yang dijual sekarang, seperti ertiga xl 7 grand vitara dengan mesin yang sama.",positif,langsung pamerin versi mass pro nya gemar suzuki nya emang tunggu produk suzuki beda versi jual ertiga xl 7 grand vitara mesin
231,"Ya hargai lah, meski concept india.. semoga enggak jad ekspresoo wkwkwkw",positif,ya harga konsep india moga jad ekspresoo wkwkwkw
232,Maruti ya yang bikin? tapi kalo liat bentuk konsepnya sih lumayan,positif,marut ya bikin lihat bentuk konsep sih lumayan
233,Kecil ?,netral,
234,"Â @ANTI_LGBTQ_5Â  Yup, Mazda, Suzuki, dan Subaru terbilang kecil dibandingkan pabrikan Jepang lain semacam Toyota dan Honda. Ingat Suzuki Kizashi? Satu satunya Suzuki punya mid size sedan. Itu pun disuntik mati. Padahal bagus banget!!! Lihat reviewnya. Sampai sekarang mereka ngga punya model di mid size sedan, apalagi di flagship.",negatif,antilgbtq5 yup mazda suzuki subaru bilang banding pabrikan jepang toyota honda suzuki kizashi satu suzuki mid size sedan suntik mati bagus banget lihat reviewnya model mid size sedan flagship
235,"Tidak dipungkiri, culture korporasi Jepang itu korup banget
Beda 180 derajat dari kulture masyarakatnya",negatif,dipungkiri culture korporasi jepang korup banget beda 180 derajat kulture masyarakat
236,Pasti kemahalan harganya,negatif,mahal harga
237,Masih mending beli Neta v ll,negatif,mending beli neta v ll
238,"Karena hal itu jg baru bisa membuat brand jepang ini lbh serius di pasar Indo,selama ini mereka anggap remeh mulu di Indonesia,dpt yg versi disunat semua nya",negatif,brand jepang serius pasar indoselama anggap remeh mulu indonesiadpt versi sunat nya
239,Â @MrAdhiSuryanaÂ  tiati bang diserang pemuja negara tersebut ....,negatif,mradhisuryana tiati bang serang puja negara
240,Jadi inget Nokia sama blackberry,netral,nokia blackberry
241,"Â @YakubNgÂ  Fakta, kalau nggak toxic culture mana ada mantan perdana menteri sampai dibunuh warga sipil. Kecuali ada sesuatu yang disembunyikan",negatif,yakubng fakta toxic culture mantan perdana menteri bunuh warga sipil kecuali sembunyi
242,"Iya emang kalo ada ente mau beli? pabrikan jepang juga mikiran cost jual juga biar untung juga, jangan jauh-jauh liat cerry banyak mobil kotor lumutan didepan dealernya ga laku?",positif,iya emang ente beli pabrikan jepang suka berfikir ongkos jual biar untung jauhjauh lihat cerry mobil kotor lumut depan dealernya laku
243,"â€‹Â @MrAdhiSuryanaÂ  Tapi ente lupa, Jepang itu bukan negara kaya akan sumber daya alam, mereka butuh bahan baku dari china juga..",netral,mradhisuryana ente lupa jepang negara kaya sumber daya alam butuh bahan baku china
244,"â€‹Â @AbdulLatif-m8xÂ Ketika orang dari negara terbelakang pemuja prabowo gibran bilang ""Pasti kemahalan"" lo tau ga si brow2 jEpang jangan disamain sama ChiNa Tolol, mereka itu dari dulu negaranya miskin sumber daya alam, gak kaya china kaya akan sumber daya alam buat kendaraan, banyak jepang ngambil bahan baku dari china, dan sekarang regulasi dirubah sama china, dan jepang mahal juga modalnya, logika aja mana ada perusahaan ga untung demi menurut kemauan konsumen miskin minta mobil murah spek sultan... otak dipake sdm rendah",negatif,abdullatifm8x orang negara belakang puja prabowo gibran bilang mahal tau si brow2 jepang disamain china tolol negara miskin sumber daya alam kaya china kaya sumber daya alam kendara jepang ambil bahan baku china regulasi rubah china jepang mahal modal logika usaha untung mau konsumen miskin mobil murah spek sultan otak pakai sdm rendah
245,"Jika Suzuki siap membantai mobil China, maka siap turun harga seharga mobil China",positif,suzuki bantai mobil china turun harga harga mobil china
246,"Ngeri mobilnya ,wah banget ,gak cocok di saya ,saya hanya tukang baso kelililng",positif,ngeri mobil banget cocok tukang baso kelililng
247,mobil konsep sijuki keren2 tp pas masuk produksi juelekğŸ˜‚ğŸ¤£,negatif,mobil konsep sijuki keren2 pas masuk produksi juelek
248,"Intinya tunggu aja, beneran kaya gini apa engga ğŸ˜‚",positif,inti tunggu beneran kaya
249,Hahaha gak akan terealisasiğŸ˜…,negatif,hahaha realisasi
250,"Keren,manteeebbb,
Yg norak cuma Velgnya",positif,kerenmanteeebbb norak velgnya
251,ğŸ‘,positif,
252,sizuki mimpi aja lah. selama kiblatnya ke india,negatif,sizuki mimpi kiblat india
253,3:06,netral,306
254,Suzuki klo mobil nya laris dihadang ama salesnya dengan menaikan harga... TRAGEDI JIMNY,negatif,suzuki mobil nya laris dihadang salesnya naik harga tragedi jimny
255,N...I...C....E.....!!!!!!!!!,positif,nice
256,Mobil suzuki ev konsep akan siap melibas mobil2 ev China yg sudah berulangkali diupgrade.?,positif,mobil suzuki ev konsep libas mobil2 ev china berulangkali diupgrade
257,hmm.,netral,hmm
258,"Suzuki itu klo mobil konsepnya cakep bner, tpi klo udh kluar biasanya selera prindavan ğŸ˜­",positif,suzuki mobil konsep cakep selera prindavan
259,Next tukar tambah sama xl 7,positif,next tukar xl 7
260,Om bahas jetour x70 plus,netral,om bahas jetour x70 plus
261,"sayang masih konsep, mobil cina sdh banjir...",negatif,sayang konsep mobil cina banjir
262,Ahh baru concept rilisnya jauhğŸ˜‚ğŸ˜‚ğŸ˜‚,negatif,ahh konsep rilis
263,Headunit nya ganggu pandangan banget seperti nya,negatif,headunit nya ganggu pandang banget nya
264,Kayaknya ini bukan bikinan Suzuki India deh..,positif,kayak bikin suzuki india deh
265,maklum indo pajaknya besar bang untuk unit import,netral,maklum indonesia pajak bang unit import
266,iya karena pemerintah kita tau sendiri kan condong ke negara mana sekarang ğŸ˜…,netral,iya perintah tau condong negara
