instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,date
1,2011-01-01,springer,2011,Jan,No,Sat,No,Moderate,14.0,18.0,81.0,11.0,331,654,985,01
2,2011-01-02,springer,2011,Jan,No,Sun,No,Moderate,15.0,18.0,70.0,17.0,131,670,801,02
3,2011-01-03,springer,2011,Jan,No,Mon,Yes,Normal,8.0,9.0,44.0,17.0,120,1229,1349,03
4,2011-01-04,springer,2011,Jan,No,Tue,Yes,Normal,8.0,11.0,59.0,11.0,108,1454,1562,04
5,2011-01-05,springer,2011,Jan,No,Wed,Yes,Normal,9.0,11.0,44.0,13.0,82,1518,1600,05
6,2011-01-06,springer,2011,Jan,No,Thr,Yes,Normal,8.0,12.0,52.0,6.0,88,1518,1606,06
7,2011-01-07,springer,2011,Jan,No,Fri,Yes,Moderate,8.0,10.0,50.0,11.0,148,1362,1510,07
8,2011-01-08,springer,2011,Jan,No,Sat,No,Moderate,7.0,8.0,54.0,18.0,68,891,959,08
9,2011-01-09,springer,2011,Jan,No,Sun,No,Normal,6.0,6.0,43.0,24.0,54,768,822,09
10,2011-01-10,springer,2011,Jan,No,Mon,Yes,Normal,6.0,8.0,48.0,15.0,41,1280,1321,10
11,2011-01-11,springer,2011,Jan,No,Tue,Yes,Moderate,7.0,10.0,69.0,8.0,43,1220,1263,11
12,2011-01-12,springer,2011,Jan,No,Wed,Yes,Normal,7.0,8.0,60.0,20.0,25,1137,1162,12
13,2011-01-13,springer,2011,Jan,No,Thr,Yes,Normal,7.0,8.0,47.0,20.0,38,1368,1406,13
14,2011-01-14,springer,2011,Jan,No,Fri,Yes,Normal,7.0,9.0,54.0,8.0,54,1367,1421,14
15,2011-01-15,springer,2011,Jan,No,Sat,No,Moderate,10.0,12.0,50.0,11.0,222,1026,1248,15
16,2011-01-16,springer,2011,Jan,No,Sun,No,Normal,9.0,12.0,48.0,13.0,251,953,1204,16
17,2011-01-17,springer,2011,Jan,Yes,Mon,No,Moderate,7.0,9.0,54.0,13.0,117,883,1000,17
18,2011-01-18,springer,2011,Jan,No,Tue,Yes,Moderate,9.0,12.0,86.0,10.0,9,674,683,18
19,2011-01-19,springer,2011,Jan,No,Wed,Yes,Moderate,12.0,15.0,74.0,14.0,78,1572,1650,19
20,2011-01-20,springer,2011,Jan,No,Thr,Yes,Moderate,11.0,13.0,54.0,13.0,83,1844,1927,20
21,2011-01-21,springer,2011,Jan,No,Fri,Yes,Normal,7.0,8.0,46.0,24.0,75,1468,1543,21
22,2011-01-22,springer,2011,Jan,No,Sat,No,Normal,2.0,4.0,40.0,12.0,93,888,981,22
23,2011-01-23,springer,2011,Jan,No,Sun,No,Normal,4.0,5.0,44.0,17.0,150,836,986,23
24,2011-01-24,springer,2011,Jan,No,Mon,Yes,Normal,4.0,6.0,49.0,11.0,86,1330,1416,24
25,2011-01-25,springer,2011,Jan,No,Tue,Yes,Moderate,9.0,12.0,62.0,9.0,186,1799,1985,25
26,2011-01-26,springer,2011,Jan,No,Wed,Yes,Caution,9.0,10.0,86.0,20.0,34,472,506,26
27,2011-01-27,springer,2011,Jan,No,Thr,Yes,Normal,8.0,11.0,69.0,8.0,15,416,431,27
28,2011-01-28,springer,2011,Jan,No,Fri,Yes,Moderate,8.0,11.0,79.0,8.0,38,1129,1167,28
29,2011-01-29,springer,2011,Jan,No,Sat,No,Normal,8.0,11.0,65.0,10.0,123,975,1098,29
30,2011-01-30,springer,2011,Jan,No,Sun,No,Normal,9.0,13.0,72.0,5.0,140,956,1096,30
31,2011-01-31,springer,2011,Jan,No,Mon,Yes,Moderate,7.0,9.0,60.0,13.0,42,1459,1501,31
32,2011-02-01,springer,2011,Feb,No,Tue,Yes,Moderate,8.0,12.0,83.0,4.0,47,1313,1360,01
33,2011-02-02,springer,2011,Feb,No,Wed,Yes,Moderate,11.0,13.0,78.0,18.0,72,1454,1526,02
34,2011-02-03,springer,2011,Feb,No,Thr,Yes,Normal,8.0,9.0,44.0,19.0,61,1489,1550,03
35,2011-02-04,springer,2011,Feb,No,Fri,Yes,Moderate,9.0,11.0,59.0,9.0,88,1620,1708,04
36,2011-02-05,springer,2011,Feb,No,Sat,No,Moderate,10.0,12.0,93.0,11.0,100,905,1005,05
37,2011-02-06,springer,2011,Feb,No,Sun,No,Normal,12.0,15.0,57.0,10.0,354,1269,1623,06
38,2011-02-07,springer,2011,Feb,No,Mon,Yes,Normal,11.0,15.0,74.0,3.0,120,1592,1712,07
39,2011-02-08,springer,2011,Feb,No,Tue,Yes,Normal,9.0,10.0,54.0,24.0,64,1466,1530,08
40,2011-02-09,springer,2011,Feb,No,Wed,Yes,Moderate,6.0,7.0,49.0,13.0,53,1552,1605,09
41,2011-02-10,springer,2011,Feb,No,Thr,Yes,Normal,6.0,7.0,44.0,15.0,47,1491,1538,10
42,2011-02-11,springer,2011,Feb,No,Fri,Yes,Normal,8.0,11.0,51.0,7.0,149,1597,1746,11
43,2011-02-12,springer,2011,Feb,No,Sat,No,Normal,9.0,12.0,54.0,14.0,288,1184,1472,12
44,2011-02-13,springer,2011,Feb,No,Sun,No,Normal,13.0,16.0,46.0,17.0,397,1192,1589,13
45,2011-02-14,springer,2011,Feb,No,Mon,Yes,Normal,17.0,20.0,38.0,26.0,208,1705,1913,14
46,2011-02-15,springer,2011,Feb,No,Tue,Yes,Normal,11.0,13.0,31.0,20.0,140,1675,1815,15
47,2011-02-16,springer,2011,Feb,No,Wed,Yes,Normal,13.0,16.0,42.0,17.0,218,1897,2115,16
48,2011-02-17,springer,2011,Feb,No,Thr,Yes,Normal,18.0,21.0,50.0,15.0,259,2216,2475,17
49,2011-02-18,springer,2011,Feb,No,Fri,Yes,Normal,21.0,26.0,52.0,18.0,579,2348,2927,18
50,2011-02-19,springer,2011,Feb,No,Sat,No,Normal,16.0,20.0,20.0,26.0,532,1103,1635,19
51,2011-02-20,springer,2011,Feb,No,Sun,No,Normal,12.0,14.0,41.0,15.0,639,1173,1812,20
52,2011-02-21,springer,2011,Feb,Yes,Mon,No,Moderate,12.0,14.0,60.0,21.0,195,912,1107,21
53,2011-02-22,springer,2011,Feb,No,Tue,Yes,Normal,7.0,9.0,58.0,13.0,74,1376,1450,22
54,2011-02-23,springer,2011,Feb,No,Wed,Yes,Normal,9.0,12.0,42.0,6.0,139,1778,1917,23
55,2011-02-24,springer,2011,Feb,No,Thr,Yes,Moderate,12.0,14.0,70.0,17.0,100,1707,1807,24
56,2011-02-25,springer,2011,Feb,No,Fri,Yes,Moderate,15.0,18.0,71.0,23.0,120,1341,1461,25
57,2011-02-26,springer,2011,Feb,No,Sat,No,Normal,12.0,14.0,54.0,13.0,424,1545,1969,26
58,2011-02-27,springer,2011,Feb,No,Sun,No,Normal,14.0,18.0,68.0,8.0,694,1708,2402,27
59,2011-02-28,springer,2011,Feb,No,Mon,Yes,Moderate,17.0,20.0,88.0,19.0,81,1365,1446,28
60,2011-03-01,springer,2011,Mar,No,Tue,Yes,Normal,11.0,13.0,54.0,15.0,137,1714,1851,01
61,2011-03-02,springer,2011,Mar,No,Wed,Yes,Normal,14.0,16.0,45.0,21.0,231,1903,2134,02
62,2011-03-03,springer,2011,Mar,No,Thr,Yes,Normal,8.0,10.0,32.0,15.0,123,1562,1685,03
63,2011-03-04,springer,2011,Mar,No,Fri,Yes,Moderate,11.0,13.0,61.0,14.0,214,1730,1944,04
64,2011-03-05,springer,2011,Mar,No,Sat,No,Moderate,16.0,19.0,79.0,17.0,640,1437,2077,05
65,2011-03-06,springer,2011,Mar,No,Sun,No,Moderate,15.0,18.0,95.0,23.0,114,491,605,06
66,2011-03-07,springer,2011,Mar,No,Mon,Yes,Normal,11.0,12.0,55.0,23.0,244,1628,1872,07
67,2011-03-08,springer,2011,Mar,No,Tue,Yes,Normal,12.0,15.0,42.0,8.0,316,1817,2133,08
68,2011-03-09,springer,2011,Mar,No,Wed,Yes,Moderate,12.0,14.0,78.0,15.0,191,1700,1891,09
69,2011-03-10,springer,2011,Mar,No,Thr,Yes,Caution,16.0,19.0,20.0,18.0,46,577,623,10
70,2011-03-11,springer,2011,Mar,No,Fri,Yes,Moderate,13.0,15.0,65.0,16.0,247,1730,1977,11
71,2011-03-12,springer,2011,Mar,No,Sat,No,Normal,13.0,16.0,59.0,15.0,724,1408,2132,12
72,2011-03-13,springer,2011,Mar,No,Sun,No,Normal,16.0,19.0,53.0,18.0,982,1435,2417,13
73,2011-03-14,springer,2011,Mar,No,Mon,Yes,Normal,13.0,17.0,50.0,9.0,359,1687,2046,14
74,2011-03-15,springer,2011,Mar,No,Tue,Yes,Moderate,13.0,16.0,66.0,12.0,289,1767,2056,15
75,2011-03-16,springer,2011,Mar,No,Wed,Yes,Moderate,15.0,18.0,78.0,14.0,321,1871,2192,16
76,2011-03-17,springer,2011,Mar,No,Thr,Yes,Normal,17.0,21.0,60.0,14.0,424,2320,2744,17
77,2011-03-18,springer,2011,Mar,No,Fri,Yes,Normal,22.0,26.0,53.0,15.0,884,2355,3239,18
78,2011-03-19,springer,2011,Mar,No,Sat,No,Normal,19.0,23.0,38.0,25.0,1424,1693,3117,19
79,2011-03-20,springer,2011,Mar,No,Sun,No,Normal,14.0,16.0,47.0,14.0,1047,1424,2471,20
80,2011-03-21,summer,2011,Mar,No,Mon,Yes,Moderate,18.0,20.0,74.0,19.0,401,1676,2077,21
81,2011-03-22,summer,2011,Mar,No,Tue,Yes,Normal,18.0,22.0,62.0,15.0,460,2243,2703,22
82,2011-03-23,summer,2011,Mar,No,Wed,Yes,Moderate,14.0,17.0,84.0,16.0,203,1918,2121,23
83,2011-03-24,summer,2011,Mar,No,Thr,Yes,Moderate,12.0,14.0,81.0,16.0,166,1699,1865,24
84,2011-03-25,summer,2011,Mar,No,Fri,Yes,Normal,11.0,13.0,50.0,15.0,300,1910,2210,25
85,2011-03-26,summer,2011,Mar,No,Sat,No,Normal,11.0,13.0,39.0,14.0,981,1515,2496,26
86,2011-03-27,summer,2011,Mar,No,Sun,No,Moderate,10.0,13.0,49.0,12.0,472,1221,1693,27
87,2011-03-28,summer,2011,Mar,No,Mon,Yes,Normal,11.0,13.0,30.0,14.0,222,1806,2028,28
88,2011-03-29,summer,2011,Mar,No,Tue,Yes,Normal,12.0,15.0,31.0,15.0,317,2108,2425,29
89,2011-03-30,summer,2011,Mar,No,Wed,Yes,Moderate,12.0,15.0,65.0,12.0,168,1368,1536,30
90,2011-03-31,summer,2011,Mar,No,Thr,Yes,Caution,11.0,13.0,92.0,15.0,179,1506,1685,31
91,2011-04-01,summer,2011,Apr,No,Fri,Yes,Moderate,12.0,14.0,69.0,17.0,307,1920,2227,01
92,2011-04-02,summer,2011,Apr,No,Sat,No,Moderate,13.0,16.0,65.0,13.0,898,1354,2252,02
93,2011-04-03,summer,2011,Apr,No,Sun,No,Normal,16.0,19.0,48.0,12.0,1651,1598,3249,03
94,2011-04-04,summer,2011,Apr,No,Mon,Yes,Normal,24.0,27.0,43.0,26.0,734,2381,3115,04
95,2011-04-05,summer,2011,Apr,No,Tue,Yes,Moderate,17.0,20.0,64.0,26.0,167,1628,1795,05
96,2011-04-06,summer,2011,Apr,No,Wed,Yes,Normal,16.0,19.0,47.0,18.0,413,2395,2808,06
97,2011-04-07,summer,2011,Apr,No,Thr,Yes,Normal,18.0,22.0,60.0,11.0,571,2570,3141,07
98,2011-04-08,summer,2011,Apr,No,Fri,Yes,Moderate,14.0,16.0,84.0,15.0,172,1299,1471,08
99,2011-04-09,summer,2011,Apr,No,Sat,No,Moderate,14.0,17.0,88.0,9.0,879,1576,2455,09
100,2011-04-10,summer,2011,Apr,No,Sun,No,Moderate,17.0,21.0,86.0,10.0,1188,1707,2895,10
101,2011-04-11,summer,2011,Apr,No,Mon,Yes,Moderate,24.0,28.0,72.0,22.0,855,2493,3348,11
102,2011-04-12,summer,2011,Apr,No,Tue,Yes,Moderate,21.0,25.0,74.0,18.0,257,1777,2034,12
103,2011-04-13,summer,2011,Apr,No,Wed,Yes,Moderate,17.0,21.0,82.0,17.0,209,1953,2162,13
104,2011-04-14,summer,2011,Apr,No,Thr,Yes,Normal,19.0,23.0,54.0,7.0,529,2738,3267,14
105,2011-04-15,summer,2011,Apr,Yes,Fri,No,Normal,18.0,22.0,67.0,15.0,642,2484,3126,15
106,2011-04-16,summer,2011,Apr,No,Sat,No,Caution,18.0,21.0,89.0,23.0,121,674,795,16
107,2011-04-17,summer,2011,Apr,No,Sun,No,Normal,19.0,22.0,48.0,20.0,1558,2186,3744,17
108,2011-04-18,summer,2011,Apr,No,Mon,Yes,Normal,21.0,25.0,54.0,11.0,669,2760,3429,18
109,2011-04-19,summer,2011,Apr,No,Tue,Yes,Moderate,21.0,24.0,67.0,11.0,409,2795,3204,19
110,2011-04-20,summer,2011,Apr,No,Wed,Yes,Normal,24.0,28.0,61.0,16.0,613,3331,3944,20
111,2011-04-21,summer,2011,Apr,No,Thr,Yes,Normal,19.0,23.0,41.0,22.0,745,3444,4189,21
112,2011-04-22,summer,2011,Apr,No,Fri,Yes,Moderate,14.0,16.0,73.0,15.0,177,1506,1683,22
113,2011-04-23,summer,2011,Apr,No,Sat,No,Moderate,19.0,23.0,89.0,15.0,1462,2574,4036,23
114,2011-04-24,summer,2011,Apr,No,Sun,No,Moderate,24.0,28.0,81.0,13.0,1710,2481,4191,24
115,2011-04-25,summer,2011,Apr,No,Mon,Yes,Normal,25.0,29.0,78.0,12.0,773,3300,4073,25
116,2011-04-26,summer,2011,Apr,No,Tue,Yes,Normal,26.0,30.0,73.0,22.0,678,3722,4400,26
117,2011-04-27,summer,2011,Apr,No,Wed,Yes,Moderate,25.0,29.0,84.0,21.0,547,3325,3872,27
118,2011-04-28,summer,2011,Apr,No,Thr,Yes,Moderate,25.0,29.0,70.0,22.0,569,3489,4058,28
119,2011-04-29,summer,2011,Apr,No,Fri,Yes,Normal,21.0,25.0,46.0,16.0,878,3717,4595,29
120,2011-04-30,summer,2011,Apr,No,Sat,No,Normal,19.0,23.0,50.0,16.0,1965,3347,5312,30
121,2011-05-01,summer,2011,May,No,Sun,No,Moderate,19.0,22.0,76.0,7.0,1138,2213,3351,01
122,2011-05-02,summer,2011,May,No,Mon,Yes,Moderate,23.0,27.0,73.0,12.0,847,3554,4401,02
123,2011-05-03,summer,2011,May,No,Tue,Yes,Moderate,25.0,29.0,70.0,23.0,603,3848,4451,03
124,2011-05-04,summer,2011,May,No,Wed,Yes,Moderate,17.0,20.0,74.0,22.0,255,2378,2633,04
125,2011-05-05,summer,2011,May,No,Thr,Yes,Normal,19.0,22.0,44.0,20.0,614,3819,4433,05
126,2011-05-06,summer,2011,May,No,Fri,Yes,Normal,20.0,24.0,59.0,15.0,894,3714,4608,06
127,2011-05-07,summer,2011,May,No,Sat,No,Normal,21.0,26.0,54.0,11.0,1612,3102,4714,07
128,2011-05-08,summer,2011,May,No,Sun,No,Normal,22.0,26.0,63.0,5.0,1401,2932,4333,08
129,2011-05-09,summer,2011,May,No,Mon,Yes,Normal,22.0,26.0,59.0,12.0,664,3698,4362,09
130,2011-05-10,summer,2011,May,No,Tue,Yes,Normal,22.0,26.0,49.0,8.0,694,4109,4803,10
131,2011-05-11,summer,2011,May,No,Wed,Yes,Normal,22.0,26.0,63.0,8.0,550,3632,4182,11
132,2011-05-12,summer,2011,May,No,Thr,Yes,Normal,22.0,26.0,75.0,13.0,695,4169,4864,12
133,2011-05-13,summer,2011,May,No,Fri,Yes,Moderate,21.0,25.0,86.0,12.0,692,3413,4105,13
134,2011-05-14,summer,2011,May,No,Sat,No,Moderate,21.0,25.0,92.0,9.0,902,2507,3409,14
135,2011-05-15,summer,2011,May,No,Sun,No,Moderate,23.0,27.0,87.0,10.0,1582,2971,4553,15
136,2011-05-16,summer,2011,May,No,Mon,Yes,Normal,24.0,28.0,79.0,9.0,773,3185,3958,16
137,2011-05-17,summer,2011,May,No,Tue,Yes,Moderate,23.0,27.0,84.0,19.0,678,3445,4123,17
138,2011-05-18,summer,2011,May,No,Wed,Yes,Moderate,23.0,26.0,87.0,13.0,536,3319,3855,18
139,2011-05-19,summer,2011,May,No,Thr,Yes,Moderate,22.0,26.0,83.0,7.0,735,3840,4575,19
140,2011-05-20,summer,2011,May,No,Fri,Yes,Normal,22.0,26.0,72.0,8.0,909,4008,4917,20
141,2011-05-21,summer,2011,May,No,Sat,No,Normal,25.0,29.0,63.0,8.0,2258,3547,5805,21
142,2011-05-22,summer,2011,May,No,Sun,No,Normal,25.0,29.0,75.0,10.0,1576,3084,4660,22
143,2011-05-23,summer,2011,May,No,Mon,Yes,Moderate,26.0,30.0,81.0,16.0,836,3438,4274,23
144,2011-05-24,summer,2011,May,No,Tue,Yes,Moderate,27.0,30.0,74.0,14.0,659,3833,4492,24
145,2011-05-25,summer,2011,May,No,Wed,Yes,Normal,27.0,31.0,70.0,10.0,740,4238,4978,25
146,2011-05-26,summer,2011,May,No,Thr,Yes,Normal,29.0,33.0,68.0,13.0,758,3919,4677,26
147,2011-05-27,summer,2011,May,No,Fri,Yes,Normal,28.0,32.0,65.0,16.0,871,3808,4679,27
148,2011-05-28,summer,2011,May,No,Sat,No,Normal,27.0,31.0,73.0,15.0,2001,2757,4758,28
149,2011-05-29,summer,2011,May,No,Sun,No,Normal,27.0,31.0,82.0,14.0,2355,2433,4788,29
150,2011-05-30,summer,2011,May,Yes,Mon,No,Normal,30.0,34.0,68.0,9.0,1549,2549,4098,30
151,2011-05-31,summer,2011,May,No,Tue,Yes,Normal,32.0,36.0,64.0,7.0,673,3309,3982,31
152,2011-06-01,summer,2011,Jun,No,Wed,Yes,Moderate,31.0,36.0,68.0,14.0,513,3461,3974,01
153,2011-06-02,summer,2011,Jun,No,Thr,Yes,Normal,29.0,32.0,30.0,20.0,736,4232,4968,02
154,2011-06-03,summer,2011,Jun,No,Fri,Yes,Normal,25.0,29.0,35.0,17.0,898,4414,5312,03
155,2011-06-04,summer,2011,Jun,No,Sat,No,Normal,26.0,30.0,46.0,8.0,1869,3473,5342,04
156,2011-06-05,summer,2011,Jun,No,Sun,No,Moderate,27.0,31.0,65.0,9.0,1685,3221,4906,05
157,2011-06-06,summer,2011,Jun,No,Mon,Yes,Normal,28.0,31.0,60.0,8.0,673,3875,4548,06
158,2011-06-07,summer,2011,Jun,No,Tue,Yes,Normal,29.0,33.0,60.0,13.0,763,4070,4833,07
159,2011-06-08,summer,2011,Jun,No,Wed,Yes,Normal,32.0,36.0,62.0,9.0,676,3725,4401,08
160,2011-06-09,summer,2011,Jun,No,Thr,Yes,Moderate,33.0,38.0,57.0,10.0,563,3352,3915,09
161,2011-06-10,summer,2011,Jun,No,Fri,Yes,Normal,31.0,35.0,60.0,9.0,815,3771,4586,10
162,2011-06-11,summer,2011,Jun,No,Sat,No,Normal,30.0,34.0,65.0,10.0,1729,3237,4966,11
163,2011-06-12,summer,2011,Jun,No,Sun,No,Normal,28.0,32.0,75.0,11.0,1467,2993,4460,12
164,2011-06-13,summer,2011,Jun,No,Mon,Yes,Normal,26.0,30.0,49.0,20.0,863,4157,5020,13
165,2011-06-14,summer,2011,Jun,No,Tue,Yes,Normal,25.0,30.0,51.0,18.0,727,4164,4891,14
166,2011-06-15,summer,2011,Jun,No,Wed,Yes,Normal,26.0,29.0,47.0,11.0,769,4411,5180,15
167,2011-06-16,summer,2011,Jun,No,Thr,Yes,Moderate,26.0,30.0,69.0,14.0,545,3222,3767,16
168,2011-06-17,summer,2011,Jun,No,Fri,Yes,Normal,27.0,30.0,74.0,10.0,863,3981,4844,17
169,2011-06-18,summer,2011,Jun,No,Sat,No,Normal,29.0,32.0,67.0,8.0,1807,3312,5119,18
170,2011-06-19,summer,2011,Jun,No,Sun,No,Moderate,29.0,32.0,67.0,7.0,1639,3105,4744,19
171,2011-06-20,summer,2011,Jun,No,Mon,Yes,Moderate,26.0,30.0,75.0,10.0,699,3311,4010,20
172,2011-06-21,fall,2011,Jun,No,Tue,Yes,Moderate,28.0,32.0,77.0,11.0,774,4061,4835,21
173,2011-06-22,fall,2011,Jun,No,Wed,Yes,Normal,30.0,35.0,71.0,12.0,661,3846,4507,22
174,2011-06-23,fall,2011,Jun,No,Thr,Yes,Moderate,30.0,35.0,70.0,16.0,746,4044,4790,23
175,2011-06-24,fall,2011,Jun,No,Fri,Yes,Normal,30.0,33.0,57.0,15.0,969,4022,4991,24
176,2011-06-25,fall,2011,Jun,No,Sat,No,Normal,28.0,32.0,48.0,14.0,1782,3420,5202,25
177,2011-06-26,fall,2011,Jun,No,Sun,No,Normal,28.0,32.0,51.0,6.0,1920,3385,5305,26
178,2011-06-27,fall,2011,Jun,No,Mon,Yes,Moderate,28.0,32.0,66.0,7.0,854,3854,4708,27
179,2011-06-28,fall,2011,Jun,No,Tue,Yes,Normal,31.0,35.0,63.0,10.0,732,3916,4648,28
180,2011-06-29,fall,2011,Jun,No,Wed,Yes,Normal,30.0,33.0,50.0,18.0,848,4377,5225,29
181,2011-06-30,fall,2011,Jun,No,Thr,Yes,Normal,29.0,32.0,43.0,12.0,1027,4488,5515,30
